W	90
N	84
T	112
W	83
T	144
E	51
W	147
D	127
K	72
K	71
Z	51
O	72
T	105
C	153
O	64
O	81
P	90
M	77
T	103
O	48
E	160
Z	14
O	71
I	26
H	73
Y	60
N	67
Y	75
O	66
L	79
K	69
O	73
W	80
H	69
E	90
R	119
A	102
W	86
A	117
E	85
A	90
A	112
M	89
M	65
Z	129
A	160
T	106
S	14
M	100
U	73
E	89
Y	57
O	73
R	68
E	121
T	120
E	147
P	76
D	33
I	68
E	98
O	73
L	65
I	64
N	76
A	103
N	75
A	117
Z	112
C	82
Y	63
A	10
L	87
W	129
A	126
I	69
C	102
I	111
A	98
T	113
U	56
N	23
A	109
O	66
R	93
T	115
A	122
S	105
Z	95
I	75
Y	66
D	84
I	66
D	14
N	73
I	76
S	104
Y	68
W	81
A	11
C	92
P	78
E	111
J	74
N	80
E	122
W	111
A	121
L	68
E	118
H	60
W	86
Y	51
A	146
I	49
N	74
A	33
N	10
T	129
O	90
A	84
S	116
D	71
I	63
O	71
J	84
Z	161
N	75
C	88
Z	152
E	104
N	69
N	26
O	75
E	155
E	83
T	81
H	69
Z	23
T	114
W	92
N	153
R	141
W	91
K	73
L	77
H	65
I	72
I	22
I	21
M	97
M	81
T	132
N	82
U	61
N	84
D	23
O	56
S	129
K	75
I	63
N	35
N	79
O	62
R	103
R	75
R	76
H	78
E	92
K	75
I	31
E	115
E	96
I	71
N	22
C	89
N	142
I	67
Z	41
A	116
N	69
K	71
H	75
S	105
O	81
I	62
W	13
O	86
C	82
W	96
O	65
P	74
J	82
A	91
J	70
P	74
Y	65
M	90
A	99
A	13
E	134
R	89
E	134
L	70
B	109
W	76
I	41
O	42
J	64
J	76
E	71
P	67
Z	142
S	90
E	31
Y	61
N	75
C	95
T	132
A	145
D	10
D	78
N	84
B	88
O	66
W	109
C	38
P	69
L	74
A	117
I	84
I	10
C	81
C	86
C	84
E	144
T	97
N	42
A	120
J	72
Y	61
E	137
W	118
A	125
B	93
I	72
S	85
I	35
N	96
N	21
N	69
A	171
A	124
K	81
Z	116
O	54
