O	52
H	66
J	70
E	92
B	76
I	10
N	62
W	103
A	104
I	64
Z	10
S	31
O	57
Z	122
W	87
S	112
W	110
O	84
E	92
I	10
U	59
Z	20
O	73
E	92
E	81
A	15
A	112
O	87
W	93
A	115
I	65
E	10
H	60
C	102
E	111
O	65
Z	149
T	90
W	110
L	57
Y	75
T	88
N	50
Z	31
P	49
E	131
O	78
S	87
E	84
A	123
D	98
E	180
B	90
N	25
I	88
D	10
L	61
C	79
M	73
Y	63
N	58
W	121
D	111
I	75
W	97
O	63
D	82
Z	147
P	67
E	10
Z	113
T	128
U	17
I	67
I	70
A	113
K	100
N	71
M	70
C	67
J	60
H	58
N	126
T	103
Z	10
O	65
K	30
C	94
R	91
A	30
S	94
J	57
L	64
A	12
R	84
T	104
D	12
O	49
A	92
E	84
K	70
R	81
I	68
P	88
A	84
J	80
N	30
N	10
T	79
O	97
Y	54
O	62
C	84
T	76
N	49
A	86
M	69
T	10
I	30
J	70
C	93
W	74
T	87
I	70
N	100
E	158
C	131
N	67
N	77
K	68
A	93
L	61
U	57
R	87
W	40
E	79
W	113
C	101
O	71
W	10
R	118
N	17
N	71
O	58
J	103
J	64
Y	53
Y	59
O	92
E	93
D	29
O	60
A	10
H	72
T	93
Y	68
O	73
O	67
T	150
W	92
I	10
A	130
O	69
W	85
I	20
N	73
P	88
J	56
E	10
N	72
S	118
R	96
I	63
C	90
I	33
S	10
A	96
K	74
N	73
A	117
N	81
W	91
H	77
S	126
Z	111
C	100
N	76
B	102
E	85
A	101
E	98
Z	107
Y	65
O	66
I	69
T	124
R	88
P	68
E	100
I	64
E	109
J	25
W	91
W	72
Y	57
E	86
N	33
A	10
O	78
I	25
H	72
C	91
I	66
K	56
N	84
D	15
H	69
C	39
K	65
A	96
