H	96
A	18
N	39
Y	104
T	34
I	39
N	111
E	10
L	95
N	115
N	90
E	23
L	109
E	72
W	80
C	10
S	109
N	55
I	55
Z	114
O	32
I	119
A	123
K	63
J	95
O	103
Y	121
J	25
S	103
O	129
D	54
M	159
T	18
A	56
E	89
A	111
E	81
T	40
D	41
A	88
A	43
T	97
B	133
A	39
W	85
Y	10
Z	32
S	54
B	89
E	36
K	87
H	10
W	11
T	55
K	63
I	121
I	25
A	87
T	88
A	108
A	88
C	36
N	73
Y	72
A	44
D	43
C	95
D	92
H	89
N	118
O	24
O	103
P	47
O	57
L	39
D	72
A	69
T	71
Z	43
W	69
M	129
K	88
L	71
E	47
O	23
R	87
O	97
E	34
A	27
N	72
W	79
E	39
J	99
N	95
N	79
M	87
A	95
R	10
I	23
N	101
E	10
O	117
J	68
O	119
P	68
E	131
W	10
Z	87
A	23
E	88
C	95
Z	96
E	96
E	87
E	85
Z	110
N	55
P	79
I	79
N	68
A	39
I	160
T	113
L	105
T	43
A	98
O	111
N	112
W	99
O	63
M	95
W	50
O	116
H	112
L	102
I	38
I	22
T	39
Y	56
P	127
Z	87
W	42
C	80
M	129
A	119
N	57
K	97
D	44
Y	111
R	101
P	75
C	87
W	87
I	10
Z	114
W	37
Y	146
S	73
T	110
E	50
Z	38
O	134
A	104
O	39
K	109
L	98
N	127
N	112
O	127
N	72
U	79
A	78
T	102
S	95
W	107
E	77
J	23
P	39
I	42
I	93
Y	124
R	71
I	102
W	23
D	87
E	79
J	103
R	96
O	112
C	72
R	115
A	47
I	97
T	103
I	10
N	141
W	56
W	23
A	108
R	39
U	87
I	23
D	27
S	120
I	10
Y	88
N	22
A	63
K	103
I	113
H	19
W	63
E	23
O	68
I	68
C	19
E	71
