C	79
S	10
E	56
Y	106
J	82
T	43
R	120
N	16
I	95
I	108
I	102
O	93
Z	114
R	86
I	116
Z	78
E	109
E	88
N	126
Y	116
B	17
A	10
N	47
W	114
I	104
E	27
U	86
A	102
O	94
Z	129
M	34
H	51
T	114
J	69
S	69
Y	111
A	100
K	104
C	80
Z	10
N	113
E	79
K	94
I	109
N	76
I	81
E	91
N	42
R	98
I	10
H	83
C	10
T	56
O	70
O	103
N	114
T	10
M	115
N	96
A	67
E	96
D	34
A	95
Y	10
S	122
E	81
Z	112
I	51
W	15
A	37
Y	78
O	79
S	110
I	34
P	141
A	99
K	70
E	82
I	54
N	22
K	10
M	101
H	10
N	123
A	35
I	39
W	51
W	98
O	85
N	115
L	101
E	89
C	27
A	88
N	51
I	35
U	127
Y	92
E	77
W	79
L	92
T	110
A	48
I	26
O	110
N	96
D	82
R	36
W	113
C	86
O	28
A	10
W	36
I	10
L	35
O	118
O	20
O	116
N	82
W	67
I	94
A	49
E	36
W	93
T	37
O	10
J	108
T	10
T	93
C	103
D	104
B	98
I	32
P	55
I	125
O	124
M	129
D	36
O	105
W	135
A	103
A	95
L	104
N	71
W	48
R	10
R	43
D	95
S	107
W	92
Z	32
Z	28
E	99
C	80
L	114
A	34
A	124
N	55
T	69
I	103
K	10
B	128
J	87
H	90
Z	35
O	42
D	57
O	47
A	34
K	101
W	11
C	92
O	10
E	121
D	34
P	110
T	42
W	76
W	72
N	75
P	86
J	39
K	36
A	120
W	125
E	10
Y	69
P	62
N	81
Y	93
A	93
E	124
N	10
L	120
A	95
T	66
T	106
R	112
A	95
E	60
E	17
A	126
O	31
J	88
N	101
K	97
A	112
W	111
D	26
I	71
Z	10
J	93
I	76
H	98
Y	89
S	107
O	51
E	74
C	91
I	55
H	111
A	10
L	69
Z	104
P	93
